Platform	Genre	Name	Year_Released	Developer
PS2	Action	Spider-Man 2	2004	Treyarch
GB	Racing	F-1 Race	1990	?
PS2	Sports	FIFA Soccer 2003	2002	EA Canada
PS3	Platform	LittleBigPlanet 2	2011	Media Molecule
PS	Misc	Crash Bash	2000	Eurocom Entertainment Software
PS4	Action	Assassin's Creed Syndicate	2015	Ubisoft Quebec
X360	Action	LEGO Batman: The Videogame	2008	Traveller's Tales
XOne	Shooter	Destiny	2014	"Bungie Software, Bungie"
PS	Fighting	WWF War Zone	1998	?
N64	Action	The Legend of Zelda: Majora's Mask	2000	?
PS3	Shooter	Far Cry 3	2012	Ubisoft Montreal
PS	Adventure	Rugrats: Search For Reptar	1998	?
DS	Misc	English Training: Have Fun Improving Your Skills!	2006	?
PS2	Shooter	James Bond 007: Nightfire	2002	Eurocom Entertainment Software
PS2	Platform	Ratchet & Clank	2002	?
3DS	Action	Monster Hunter X	2015	?
PS2	Action	Star Wars Episode III: Revenge of the Sith	2005	Double Helix Games
DS	Action	The Legend of Zelda: Spirit Tracks	2009	Nintendo
PS2	Shooter	Max Payne	2001	Rockstar Toronto
X360	Action	Assassin's Creed IV: Black Flag	2013	Ubisoft
PS2	Action	The Lord of the Rings: The Return of the King	2003	EA Games
3DS	Role-Playing	Yokai Watch 2 Ganso/Honke	2014	?
XOne	Shooter	Gears of War: Ultimate Edition	2015	"Splash Damage, The Coalition"
PS2	Action	True Crime: Streets of LA	2003	"Luxoflux, Inc."
DS	Puzzle	Professor Layton and the Unwound Future	2008	Level 5
PSP	Racing	Gran Turismo (PSP)	2009	?
XOne	Sports	FIFA 16	2015	EA Sports
Wii	Misc	Wii Music	2008	Nintendo
PS	Fighting	Tekken	1995	?
PS4	Sports	Madden NFL 16	2015	EA Sports
PS3	Racing	Gran Turismo 6	2013	Polyphony Digital
XOne	Shooter	Halo: The Master Chief Collection	2014	343 Industries
PS	Shooter	007: Tomorrow Never Dies	1999	?
WiiU	Platform	Super Mario Maker	2015	Nintendo
PS	Fighting	WWF SmackDown! 2: Know Your Role	2000	?
NES	Sports	Baseball	1983	?
SNES	Fighting	Killer Instinct	1995	?
SNES	Role-Playing	Dragon Quest VI: Maboroshi no Daichi	1995	?
PSP	Action	God of War: Chains of Olympus	2008	Ready at Dawn
PS2	Action	Enter the Matrix	2003	Shiny Entertainment
PSP	Role-Playing	Crisis Core: Final Fantasy VII	2007	Square Enix
X360	Misc	Dance Central	2010	Harmonix Music Systems
PS3	Adventure	L.A. Noire	2011	Team Bondi
PS2	Simulation	Ace Combat 04: Shattered Skies	2001	Namco
GC	Simulation	Animal Crossing	2001	Nintendo
PS2	Sports	FIFA Soccer 08	2007	EA Canada
DS	Adventure	Club Penguin: Elite Penguin Force	2008	1st Playable Productions
PS	Action	Spider-Man	2000	Neversoft Entertainment
Wii	Misc	Mario Party 9	2012	Nd Cube
PS	Racing	Need for Speed III: Hot Pursuit	1998	EA Canada
N64	Racing	Star Wars Episode I Racer	1999	?
DS	Platform	Sonic Rush	2005	"Dimps Corporation, Sonic Team"
NES	Role-Playing	Dragon Warrior IV	1990	?
DS	Misc	Rhythm Heaven	2008	Nintendo
PS3	Role-Playing	Fallout: New Vegas	2010	Obsidian Entertainment
DS	Misc	Personal Trainer: Cooking	2006	Indies Zero
PS3	Role-Playing	The Elder Scrolls IV: Oblivion	2007	4J Studios
3DS	Action	The Legend of Zelda: A Link Between Worlds	2013	Nintendo
PS3	Shooter	Resident Evil 6	2012	Capcom
X360	Role-Playing	Mass Effect 2	2010	BioWare
PS2	Fighting	Dragon Ball Z: Budokai	2002	Dimps Corporation
PS2	Sports	Madden NFL 2002	2001	EA Sports
NES	Sports	World Class Track Meet	1986	?
GB	Platform	Donkey Kong	1994	?
PC	Simulation	The Sims: Vacation	2002	Maxis
Wii	Action	LEGO Batman: The Videogame	N/A	Traveller's Tales
3DS	Simulation	Animal Crossing: Happy Home Designer	2015	Nintendo
PC	Simulation	The Sims 4	2014	Maxis
X360	Shooter	Borderlands 2	2012	Gearbox Software
DS	Action	LEGO Batman: The Videogame	2008	TT Fusion
X360	Action	Kung Fu Panda	2008	"Luxoflux, Inc."
X360	Role-Playing	Mass Effect 3	2012	BioWare
PS3	Adventure	Heavy Rain	2010	Quantic Dream
PS	Platform	Rayman	1995	?
X360	Action	Saints Row 2	2008	Volition Inc.
XB	Action	Tom Clancy's Splinter Cell	2002	Ubisoft Montreal
NES	Fighting	Mike Tyson's Punch-Out!!	1987	?
PS2	Sports	WWE SmackDown! Shut Your Mouth	2002	?
PS4	Sports	FIFA 14	2013	EA Canada
PS3	Shooter	Killzone 2	2009	Guerrilla
X360	Shooter	Far Cry 3	2012	Ubisoft Montreal
