Platform	Genre	Name	Year_Released	Developer
3DS	Role-Playing	Etrian Mystery Dungeon	2015	Spike Chunsoft
XOne	Misc	Zumba Fitness: World Party	2013	Zoe Mode
DS	Role-Playing	Luminous Arc	2007	"Image Epoch, Imageepoch"
Wii	Misc	Boogie SuperStar	2008	EA Montreal
XB	Racing	4x4 EVO 2	2001	Terminal Reality
DS	Racing	Juiced 2: Hot Import Nights	2007	Juice Games
PS	Racing	XS Airboat Racing	2002	?
DS	Puzzle	Cradle of Rome	2008	Cerasus Media
GBA	Action	Grand Theft Auto	2004	Digital Eclipse
DS	Role-Playing	Avalon Code	2008	"Matrix Software, Marvelous Entertainment"
GBA	Adventure	Dora the Explorer: Super Star Adventures	2004	?
PS3	Action	Star Trek: The Game	2013	?
X360	Misc	Dreamcast Collection	2011	Sega
Wii	Action	Resident Evil Archives: Resident Evil Zero	2008	Capcom
XOne	Sports	Rocket League	2016	Psyonix
PS2	Misc	My Street	2003	Idol Minds
Wii	Action	Spider-Man: Shattered Dimensions	2010	Beenox
PS	Action	Wild 9	1998	?
PSP	Action	Ghost Rider	2007	Climax Group
PS2	Role-Playing	Shadow Hearts: Covenant	2004	Nautilus
PS3	Action	X-Men: Destiny	2011	Silicon Knights
PSP	Racing	Driver '76	2007	Sumo Digital
PSP	Misc	Danganronpa: Trigger Happy Havoc	N/A	?
PS3	Action	Harry Potter and the Order of the Phoenix	2007	EA Games
PSP	Misc	Midway Arcade Treasures: Extended Play	2005	Digital Eclipse
Wii	Misc	Nickelodeon Dance	2011	High Voltage Software
PS	Sports	PGA Tour 96	1995	?
PS	Action	Covert Ops: Nuclear Dawn	2000	?
PSP	Platform	Ben 10 Ultimate Alien: Cosmic Destruction	2010	Papaya Studios
DS	Adventure	Amazing Adventures: The Forgotten Ruins	2008	Black Lantern Studios
PS	Shooter	Galaga: Destination Earth	2000	Hasbro Interactive
X360	Action	Dynasty Warriors 6 Empires	2009	Omega Force
PS3	Adventure	The Testament of Sherlock Holmes	2012	Frogwares
XB	Sports	FIFA World Cup Germany 2006	2006	EA Canada
PS4	Sports	NBA Live 14	2013	EA Sports
X360	Action	G.I. Joe: The Rise of Cobra	2009	Double Helix Games
GBA	Action	Polly Pocket: Super Splash Island	2003	?
PS3	Role-Playing	Game of Thrones	2012	"Cyanide, Cyanide Studios"
PSP	Role-Playing	God Eater 2	2013	?
WiiU	Action	LEGO Marvel's Avengers	2016	TT Games
Wii	Sports	PDC World Championship Darts 2008	2008	Oxygen Interactive
X360	Action	X-Men: Destiny	2011	Silicon Knights
PS	Misc	Sesame Street: Elmo's Number Journey	1998	?
X360	Role-Playing	Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout	2009	Bethesda Softworks
2600	Action	Rampage	1988	?
2600	Shooter	Dark Cavern	1981	?
X360	Misc	Pictionary: Ultimate Edition	2011	Page 44 Studios
X360	Action	Pro Evolution Soccer 2014	2013	Konami
X360	Action	The Godfather (US & Others sales)	2006	?
Wii	Sports	We Love Golf!	2007	?
PC	Puzzle	Angry Birds	2011	"Rovio Mobile, Rovio Entertainment"
PS3	Misc	Pictionary: Ultimate Edition	2011	Page 44 Studios
PS3	Sports	Pure Futbol	2010	Ubisoft Vancouver
PSP	Sports	Tiger Woods PGA Tour 10	2009	EA Tiburon
DS	Simulation	Imagine: Zookeeper	2009	Magic Pockets
Wii	Platform	Dood's Big Adventure	2010	THQ
X360	Action	Afro Samurai	2009	"Namco Bandai Games America, Namco Bandai Games"
PS3	Role-Playing	Ar tonelico Qoga: Knell of Ar Ciel	2010	Gust
PS2	Racing	NASCAR 08	2007	EA Tiburon
Wii	Adventure	Broken Sword: Shadow of the Templars - The Director's Cut	2009	Revolution Software
X360	Role-Playing	Divinity II: Ego Draconis	2009	Larian Studios
PS3	Simulation	Birds of Steel	2012	Gaijin Entertainment
PC	Role-Playing	DC Universe Online	2011	WBIE
PS3	Action	Bakugan: Battle Brawlers	2009	Now Production
DS	Role-Playing	Naruto: Path of the Ninja 2	2006	TOSE
PS2	Misc	Karaoke Revolution Volume 2	2004	Harmonix Music Systems
PS2	Platform	Wallace & Gromit in Project Zoo	2003	?
DS	Puzzle	Are You Smarter than a 5th Grader? Game Time	2009	THQ
3DS	Action	Girls Mode 3: Kirakira Code	2015	?
DS	Simulation	Love Plus +	2010	?
Wii	Action	Prince of Persia: The Forgotten Sands	2010	Ubisoft Quebec
DS	Adventure	Disney's A Christmas Carol	2009	Sumo Digital
PS2	Action	Mobile Suit Gundam: Climax U.C.	2006	?
PS	Fighting	Street Fighter EX2 Plus	1998	?
PSV	Action	Dragon Quest Heroes II: Twin Kings and the Prophecy's End	2016	?
Wii	Misc	Big Family Games	2009	?
GBA	Strategy	Super Robot Taisen D	2003	?
PS2	Racing	Jet X20	N/A	?
PS4	Sports	NBA Live 15	2014	EA Sports
XB	Racing	NASCAR Thunder 2004	2003	EA Games
XB	Action	Buffy the Vampire Slayer	2002	Double Helix Games
PSP	Racing	MX vs. ATV Reflex	2009	Tantalus Interactive
XB	Action	Harry Potter and the Goblet of Fire	2005	Electronic Arts
DS	Shooter	Transformers: War for Cybertron (DS Version)	2010	?
DS	Role-Playing	Sands of Destruction	2008	"Image Epoch, Imageepoch"
DS	Action	Harry Potter and the Goblet of Fire	2005	Magic Pockets
X360	Misc	Viva Pinata: Party Animals	2007	Krome Studios
DC	Sports	Pro Yakyuu Team o Tsukurou!	1999	?
DS	Misc	Shrek's Carnival Craze Party Games	2008	?
PS3	Sports	Cabela's Big Game Hunter 2012	2011	Activision
DS	Simulation	Hotel for Dogs	2008	505 Games
DS	Puzzle	Scrabble (Others sales)	2009	?
XB	Sports	World Series Baseball	2002	Blueshift
PS2	Racing	Test Drive: Eve of Destruction	2004	Monster Games Inc.
XB	Racing	Starsky & Hutch	2003	?
PS3	Action	Dynasty Warriors: Gundam Reborn	2013	Omega Force
PSV	Misc	Hatsune Miku: Project Diva f	2012	Sega
PSV	Role-Playing	The Legend of Heroes: Trails of Cold Steel	2013	Falcom
PS2	Racing	Jeremy McGrath Supercross World	2001	Acclaim
PS2	Action	The Scorpion King: Rise of the Akkadian	2002	VU Games
X360	Misc	Rock Band Country Track Pack	2009	Harmonix Music Systems
DS	Misc	Loving Life with Hello Kitty & Friends	2011	?
PS2	Sports	Let's Make a Soccer Team!	2006	?
PS3	Shooter	The Club	2008	Bizarre Creations
PS2	Role-Playing	Monster Hunter G	2005	?
DS	Puzzle	Meteos	2005	Q Entertainment
N64	Sports	All-Star Baseball 2001	2000	?
GC	Shooter	Star Wars Jedi Knight II: Jedi Outcast	2002	Vicarious Visions
GC	Action	Tom Clancy's Splinter Cell	2003	Ubisoft Shanghai
X360	Sports	Virtua Tennis 4	2011	Sega
PS2	Sports	ESPN NHL Hockey	2003	Kush Games
GB	Simulation	Harvest Moon GB	1997	?
X360	Racing	DiRT Showdown	2012	Codemasters
XB	Action	The Incredible Hulk: Ultimate Destruction	2005	Radical Entertainment
PS2	Sports	NCAA GameBreaker 2003	2002	989 Sports
X360	Action	The Amazing Spider-Man 2 (2014)	2014	?
PS	Fighting	Gundam Battle Assault	1998	Natsume
SAT	Fighting	Virtua Fighter Kids	1995	?
PC	Strategy	XCOM 2	2016	Firaxis Games
SAT	Role-Playing	Lunar: Silver Star Story	1996	?
GC	Platform	Rocket Power: Beach Bandits	2002	Evolution Games
DS	Sports	Shaun White Snowboarding	2008	Ubisoft
Wii	Sports	Tony Hawk's Downhill Jam	N/A	Toys for Bob
Wii	Racing	M&M's Kart Racing	2007	?
PS3	Role-Playing	Cross Edge	2008	Compile Heart
PS	Shooter	Tom Clancy's Rainbow Six: Rogue Spear	2001	?
Wii	Action	The Lord of the Rings: Aragorn's Quest	2010	Headstrong Games
PS	Sports	NHL FaceOff 2001	2000	SolWorks
PS3	Sports	Cabela's Outdoor Adventures (2009)	2009	FUN Labs
X360	Action	Puss in Boots	2011	?
GBA	Misc	Yu-Gi-Oh! GX: Duel Academy	2005	?
PS2	Shooter	Tribes: Aerial Assault	N/A	Midway Studios - Austin
WiiU	Misc	Game & Wario	2013	?
PS	Simulation	Colony Wars: Vengeance	1998	?
Wii	Action	Looney Tunes: Acme Arsenal	2007	Red Tribe
DS	Puzzle	Jewels of the Tropical Lost Island	2010	City Interactive
DS	Adventure	Sherlock Holmes and the Mystery of Osborne House	2010	Frogwares
Wii	Sports	Ashes Cricket 2009	2009	?
GBA	Sports	Madden NFL 06	2005	Exient Entertainment
PS3	Action	Madagascar: Escape 2 Africa	2008	Toys for Bob
NG	Fighting	The King of Fighters '95 (CD)	1994	?
Wii	Adventure	Megamind: Mega Team Unite	2010	THQ
PS	Action	Perfect Weapon	1996	?
X360	Action	NBA 2K6	2005	Visual Concepts
PS3	Racing	NASCAR 08	2007	EA Tiburon
PS2	Sports	Major League Baseball 2K10	2010	Visual Concepts
Wii	Misc	Rock Band Track Pack Volume 2	2008	?
3DS	Misc	Wipeout 2	2011	Endemol
XB	Action	Mafia	2004	Illusion Softworks
PS3	Sports	Grand Slam Tennis 2	2012	EA Sports
X360	Action	Dynasty Warriors: Strikeforce	2009	Omega Force
PS2	Sports	Airblade	2001	Criterion Games
GBA	Platform	Mega Man & Bass	2002	?
PS3	Adventure	Ratchet & Clank: Full Frontal Assault	2012	?
WiiU	Action	Epic Mickey 2: The Power of Two	2012	Junction Point
PSP	Adventure	AKB1/149: Love Election	2012	?
GB	Puzzle	Tetris 2 (weekly jp sales)	1992	?
PS2	Sports	Pro Yakyuu Team o Tsukurou! 2	2003	?
PS3	Action	Musou Orochi Z	2009	?
PS2	Misc	World Series of Poker 2008: Battle for the Bracelets	2007	Left Field Productions
PS3	Misc	Carnival Island	2011	Magic Pixel Games
PC	Shooter	Tom Clancy's Rainbow Six: Siege	2015	Ubisoft Montreal
PSP	Puzzle	Me & My Katamari	2005	?
DS	Simulation	What's Cooking? Jamie Oliver	2008	?
PS2	Action	Genji: Dawn of the Samurai	2005	Game Republic
PSP	Adventure	The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon	2009	?
PS	Action	Critical Depth	1997	?
GBA	Adventure	Barbie as The Island Princess	2007	?
PSP	Fighting	Tales of VS.	2009	?
DS	Sports	Saka-Tsuku DS: Touch and Direct	2008	?
PS2	Racing	The Italian Job	2003	Climax Group
GBA	Role-Playing	Mega Man Battle Network 5: Team Colonel / Protoman	2004	?
Wii	Racing	TrackMania: Build to Race	2010	Firebrand Games
Wii	Misc	Ultimate Band	2008	Disney Interactive Studios
SNES	Role-Playing	Star Ocean	1996	?
XB	Shooter	Freedom Fighters	2003	Io Interactive
Wii	Adventure	Barbie and the Three Musketeers	2009	Activision
PSP	Sports	Madden NFL 12	2011	EA Tiburon
XB	Shooter	Soldier of Fortune II: Double Helix	2003	Gratuitous Games
PS2	Adventure	Disney Princess: Enchanted Journey	2007	Papaya Studios
Wii	Misc	Rock Band Track Pack Volume 1	2008	?
DS	Role-Playing	Lunar Knights	2006	Kojima Productions
DS	Racing	Hot Wheels: Beat That!	2007	Human Soft
DS	Fighting	Naruto: Ninja Council 2 European Version	2005	?
PS2	Role-Playing	Final Fantasy XI: Treasures of Aht Urhgan	2006	Square Enix
3DS	Fighting	WWE All Stars	2011	THQ
PS	Role-Playing	Alundra	1997	Matrix Software
PS3	Sports	World Soccer Winning Eleven 2010: Aoki Samurai no Chousen	2010	?
Wii	Fighting	Mortal Kombat: Armageddon	2007	JGI Entertainment
WiiU	Sports	Madden NFL 13	2012	EA Tiburon
PS2	Action	Bratz: Girlz Really Rock	2008	Blitz Games
SNES	Shooter	Super R-Type	1991	?
PS	Action	Rampage 2: Universal Tour	1998	?
PS	Strategy	Super Robot Taisen F Kanketsuhen	1999	?
PS4	Action	Transformers: Devastation	2015	PlatinumGames
3DS	Racing	Cars 2	2011	?
PS3	Adventure	Hannah Montana: The Movie	2009	n-Space
PS2	Shooter	BlowOut	2003	Terminal Reality
PS2	Sports	NFL Blitz Pro	2003	Midway
GC	Sports	Tiger Woods PGA Tour 2003	2002	EA Sports
PS	Shooter	The Raiden Project	1995	?
PS4	Role-Playing	Tales of Berseria	2016	Bandai Namco Games
DS	Simulation	I Love Horses	2008	Destineer
PSP	Misc	Pinball Hall of Fame: The Gottlieb Collection	2005	Farsight Studios
PS	Fighting	Pocket Fighter	1997	?
PSP	Role-Playing	Disgaea: Afternoon of Darkness	2006	Nippon Ichi Software
XB	Misc	Bicycle Casino 2005	2004	?
PSV	Action	Toukiden Kiwami	2014	"Omega Force, Koei Tecmo Games"
XOne	Role-Playing	Dark Souls II	2015	?
Wii	Adventure	Hello Kitty Seasons	2010	Sanrio Digital
PS2	Role-Playing	.hack//G.U. Vol.2//Reminisce	2006	?
PSP	Sports	SSX On Tour	2005	EA Montreal
PSP	Sports	NCAA Football 09	2008	EA Canada
Wii	Sports	Hooked! Real Motion Fishing	2007	?
PS3	Role-Playing	Rune Factory: Tides of Destiny	2011	Neverland
PSP	Role-Playing	Ys Seven	2009	Falcom
PS2	Sports	NCAA GameBreaker 2004	2003	989 Sports
PSV	Action	Ninja Gaiden Sigma	2012	?
PSV	Misc	Lumines: Electronic Symphony	2012	Q Entertainment
DS	Sports	Tony Hawk's Proving Ground	2007	Vicarious Visions
PS2	Adventure	The Polar Express	2004	Blue Tongue
Wii	Sports	Bass Pro Shops: The Hunt	2010	Griffin International
X360	Misc	AC/DC LIVE: Rock Band Track Pack	2008	Harmonix Music Systems
PS2	Misc	Buzz! Junior: RoboJam	2007	?
PSP	Role-Playing	Valhalla Knights 2	2008	K2
Wii	Sports	Deca Sports 3	2010	"Hudson, NATSUME ATARI Inc."
GB	Puzzle	Tetris Attack	1996	?
PC	Shooter	Spec Ops: The Line	2012	Yager
PS3	Action	Saint Seiya: Sanctuary Battle	2011	Dimps Corporation
PS2	Sports	NBA ShootOut 2003	2002	SCEA
PS	Fighting	Shin Nippon Pro Wrestling: Toukon Retsuden 3	1998	?
Wii	Sports	Big Beach Sports 2	N/A	Jet Black Games
DS	Role-Playing	Digimon World DS (JP sales)	2006	?
PS2	Sports	NHL FaceOff 2003	2002	989 Sports
PS	Platform	Jersey Devil	1997	?
DS	Racing	Need For Speed: Undercover	2008	Firebrand Games
X360	Misc	Guitar Hero Live	2015	Activision
PS2	Action	Rogue Ops	2003	Bits Studios
X360	Sports	Vancouver 2010 - The Official Video Game of the Olympic Winter Games	2010	?
PS3	Role-Playing	3rd Super Robot Wars Z Jigoku Hen	2014	?
PS3	Action	Killer is Dead	2013	Grasshopper Manufacture
X360	Racing	F1 2014	2014	Codemasters Birmingham
DS	Misc	New Carnival Games	2010	Cat Daddy Games
PS2	Action	Legion: The Legend of Excalibur	2002	7 Studios
3DS	Action	Puzzle & Dragons X: God Chapter / Dragon Chapter	2016	?
PS3	Action	Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack	2011	?
PS2	Fighting	TNA iMPACT!	2008	?
PSV	Action	LEGO Jurassic World	2015	TT Games
GC	Fighting	Def Jam: Fight for NY	2004	?
PSP	Role-Playing	Sword Art Online: Infinity Moment	2013	?
PS2	Action	Spartan: Total Warrior	2005	Creative Assembly
GBA	Misc	EX Monopoly	2001	?
Wii	Sports	Ultimate Duck Hunting: Hunting & Retrieving Ducks	2007	?
N64	Misc	64 de Hakken! Tamagotchi Minna de Tamagotchi World	1997	?
Wii	Sports	Family Party: 30 Great Games Winter Fun	2010	Tamsoft
GC	Misc	Mary-Kate and Ashley: Sweet 16 - Licenced to Drive	2003	?
2600	Shooter	Deadly Duck	1981	?
2600	Action	Assault	1982	?
2600	Action	Reactor	1981	?
PSP	Action	Gundam Battle Chronicle	2007	?
Wii	Misc	Zumba Fitness: World Party	2013	Zoe Mode
PSP	Action	Danball Senki Boost	2011	?
PSP	Role-Playing	Justice League Heroes	2006	Snowblind Studios
Wii	Misc	101-in-1 Party Megamix Wii	2009	?
XB	Shooter	Conflict: Vietnam	2004	Pivotal Games
3DS	Action	Hatsune Miku: Project Mirai 2	2013	?
PS2	Sports	Whirl Tour	2002	Papaya Studios
PS2	Shooter	Time Crisis: Crisis Zone	2004	Namco
PS2	Misc	Momotarou Dentetsu 15	2005	?
PS2	Platform	Ben 10 Ultimate Alien: Cosmic Destruction	2010	Papaya Studios
PSP	Sports	NBA Street: Showdown	2005	EA Canada
Wii	Misc	We Sing Pop!	2012	?
Wii	Sports	pro evolution soccer 2011	2010	Konami
GC	Role-Playing	Skies of Arcadia Legends	2002	Overworks
PS2	Racing	MotoGP 08	2008	Milestone S.r.l
PS3	Action	Sengoku Basara 3 Utage	2011	?
GBA	Role-Playing	Breath of Fire	2001	Capcom
DS	Adventure	Last Window: The Secret of Cape West	2010	?
PC	Role-Playing	Risen 2: Dark Waters	2012	Piranha Bytes
DS	Simulation	Petz Monkeyz House	2008	Ubisoft
PS2	Racing	Ford vs. Chevy	2005	Eutechnyx
WiiU	Action	LEGO The Hobbit	2014	TT Games
PS4	Action	Darksiders II	2015	?
GC	Sports	NCAA Football 2005	2004	EA Sports
GBA	Sports	Hamtaro: Ham-Ham Games	2004	Alphadream Corporation
GBA	Action	Danny Phantom: The Ultimate Enemy	2005	Altron
DS	Platform	Cloudy With a Chance of Meatballs	2009	Ubisoft
PSV	Action	Soul Sacrifice Delta	2014	SCE Japan Studio
2600	Action	Crazy Climber	1981	?
Wii	Racing	NASCAR 2011: The Game	2011	Eutechnyx
SNES	Platform	Super Adventure Island	1992	?
DS	Simulation	Discovery Kids: Dolphin Discovery	2008	505 Games
PS3	Action	Spider-Man: Edge of Time	2011	Beenox
PS	Puzzle	Bust-A-Move 4	1998	?
PS4	Racing	Ride	2015	Milestone S.r.l
PS	Sports	NFL Quarterback Club 97	1996	?
3DS	Adventure	Spirit Camera: The Cursed Memoir	2012	Tecmo Koei Games
PSP	Strategy	Yu-Gi-Oh! GX: Tag Force 3	2008	?
PS2	Fighting	Galactic Wrestling: Featuring Ultimate Muscle	2004	Aki Corp.
Wii	Fighting	FaceBreaker K.O. Party	2008	EA Canada
PS2	Shooter	Dino Stalker	2002	Capcom
PS2	Action	Mobile Suit Gundam Seed	2003	?
Wii	Misc	Rock Band Track Pack: Classic Rock	2009	Harmonix Music Systems
DS	Adventure	Petz Rescue: Endangered Paradise	2008	Phoenix Interactive Entertainment
Wii	Sports	Rapala's Fishing Frenzy	2008	FUN Labs
GBA	Platform	Mega Man Zero 3	2004	Inti
Wii	Sports	Super Swing Golf	2006	"Tecmo, Ntreev Soft"
PS3	Action	G-Force	2009	Eurocom Entertainment Software
DS	Role-Playing	Luminous Arc 2	2008	"Image Epoch, Imageepoch"
PS	Sports	Barbie Super Sports	1999	?
3DS	Platform	Shinobi	2011	Griptonite Games
GBA	Misc	Nicktoons Collection: Game Boy Advance Video Volume 2	2004	?
DS	Sports	Tony Hawk's Downhill Jam	2006	Vicarious Visions
PS3	Role-Playing	Risen 2: Dark Waters	2012	Piranha Bytes
DS	Strategy	Age of Empires: The Age of Kings	2006	Backbone Entertainment
GBA	Misc	Duel Masters: Kaijudo Showdown	2004	Mistic Software
PSV	Role-Playing	Muramasa: The Demon Blade	2013	?
PS3	Racing	MotoGP 09/10	2010	Monumental Games
GBA	Role-Playing	The Lord of the Rings: The Third Age	2004	Griptonite Games
DS	Strategy	Dinosaur King	2007	Climax Entertainment
XB	Action	The Suffering	2004	Surreal Software
Wii	Adventure	Pitfall: The Big Adventure	2008	Edge of Reality
GC	Puzzle	Tetris Worlds	2002	Radical Entertainment
N64	Sports	Chou-Kuukan Night Pro Yakyuu King(higher JP sales)	1996	?
N64	Action	Mega Man 64	2000	?
N64	Action	Rampage 2: Universal Tour	1999	?
N64	Puzzle	Ms. Pac-Man: Maze Madness	2000	?
N64	Fighting	ECW Hardcore Revolution	2000	?
PC	Simulation	The Sims 4: Get Together	2015	Maxis
Wii	Role-Playing	Tales of Graces	2009	?
GC	Action	Viewtiful Joe 2	2004	Clover Studio
Wii	Puzzle	Neopets Puzzle Adventure	2008	Infinite Interactive
PS2	Misc	Mary-Kate and Ashley: Sweet 16 - Licenced to Drive	2002	?
PC	Action	LEGO Harry Potter: Years 5-7	N/A	Traveller's Tales
PS3	Shooter	Child of Eden	2011	Q Entertainment
Wii	Action	All Star Karate	2010	THQ
DS	Adventure	Dragon Ball: Origins (JP & incomplete US sales)	2008	?
PS	Sports	NBA Jam Extreme	1996	?
DS	Action	Naruto Shippuden: Ninja Council 4	2007	"Aspect, Takara Tomy"
DS	Shooter	Touch the Dead	2007	Secret Stash Games
Wii	Strategy	Worms: Battle Islands	2010	Team 17
XB	Misc	Nickelodeon Party Blast	2002	Data Design Interactive
PSP	Action	Jackass the Game	2007	Sidhe Interactive
DS	Role-Playing	Ragnarok DS	2008	GungHo
PS	Sports	NHL Championship 2000	1998	?
Wii	Racing	ATV Quad Kings	2009	Beyond Reality
XB	Shooter	Shellshock: Nam '67	2004	Guerrilla
DS	Misc	Ultimate Band	2008	Fall Line Studio
PS	Strategy	Kartia: The Word of Fate	1998	?
Wii	Misc	Karaoke Revolution Glee 2: Road to Regionals	2011	?
PS2	Role-Playing	Magna Carta: Tears of Blood	2004	SoftMax
GC	Sports	All-Star Baseball 2002	2001	Acclaim
PS2	Simulation	Lethal Skies Elite Pilot: Team SW	2001	Bit Town
DC	Fighting	Capcom vs. SNK	2000	Capcom
PS3	Misc	Pinball Hall of Fame: The Williams Collection	2009	Farsight Studios
PSP	Action	Aliens vs Predator: Requiem	2007	Rebellion
XOne	Action	Dishonored 2	2016	Arkane Studios
PSV	Action	Asphalt: Injection	2011	Ubisoft
DS	Misc	Tamagotchi no KiraKira Omisecchi	2008	?
GC	Action	From Russia With Love	2005	Electronic Arts
Wii	Action	Family Fest presents: Movie Games	2008	Phoenix Entertainment
PS2	Misc	Guitar Hero: Smash Hits	2009	Beenox
Wii	Sports	NBA Live 09 All-Play	2008	EA Sports
PS2	Sports	NFL Quarterback Club 2002	2001	Acclaim
X360	Sports	NCAA Basketball 09	2008	EA Canada
GB	Puzzle	Kirby's Star Stacker	1997	?
PSP	Role-Playing	Shin Megami Tensei: Persona	2009	ITL
DS	Action	Kung Fu Panda 2	2011	?
XOne	Role-Playing	Lords of the Fallen	2014	"City Interactive, Deck 13"
PC	Action	LEGO The Lord of the Rings	2012	TT Games
Wii	Misc	Kidz Bop Dance Party! The Video Game	2010	?
PS2	Role-Playing	Growlanser: Heritage of War	2006	Career Soft
X360	Action	Ben 10 Alien Force: Vilgax Attacks	2009	Papaya Studios
DS	Simulation	Imagine: Detective	2009	Ubisoft Sao Paulo
PS2	Sports	Rugby 2004	2003	HB Studios Multimedia
GBA	Action	Disney's Magical Quest Starring Mickey and Minnie	2002	?
XOne	Action	The Amazing Spider-Man 2 (2014)	2014	?
3DS	Action	Senran Kagura 2: Deep Crimson	2014	Tamsoft
PSP	Sports	NBA 06	2005	SCEA Sports Studio
DS	Misc	KORG DS-10 Synthesizer	2008	AQ Interactive
GBA	Action	Naruto: Ninja Council	2003	Aspect
DS	Adventure	DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana	2007	?
X360	Strategy	Tropico 3	2009	Haemimont
PS2	Racing	Wreckless: ThE YaKuza MisSiOns	2002	Stealth Studios
Wii	Action	Deadly Creatures	2009	Rainbow Studios
X360	Fighting	Naruto Shippuden: Ultimate Ninja Storm Revolution	2014	CyberConnect2
Wii	Adventure	CSI: Fatal Conspiracy	2010	Telltale Games
PS2	Sports	Jikkyou Powerful Major League	2006	?
PC	Action	Dead Island	2011	Techland
GC	Sports	NFL 2K3	2002	Visual Concepts
PS	Sports	Saltwater Sportfishing	2001	?
DS	Puzzle	Hasbro Family Game Night	2009	Electronic Arts
DS	Platform	Yoshi Touch & Go (JP sales)	2005	?
GBA	Platform	Samurai Jack: The Amulet of Time	2003	Virtucraft
PS2	Sports	J-League Winning Eleven 2008: Club Championship	2008	?
PS	Racing	Sports Car GT	1999	?
PS	Action	Jackie Chan: Stuntmaster	1999	?
X360	Action	Hunted: The Demon's Forge	2011	InXile Entertainment
GC	Action	Scooby-Doo! Mystery Mayhem	2004	?
SAT	Sports	Kanzen Chuuki Pro Yakyuu Greatest Nine	1995	?
DS	Misc	Yu-Gi-Oh! GX: Spirit Caller (American Sales)	2006	?
Wii	Sports	Summer Athletics: The Ultimate Challenge (Others sales)	2008	?
GBA	Misc	American Idol	2003	Mobius Entertainment
GBA	Misc	Britney's Dance Beat	2002	Art
GC	Action	Shrek SuperSlam	2005	Shaba Games
X360	Shooter	Full Auto	2006	Pseudo Interactive
SNES	Action	Sailor Moon	1993	?
PS2	Adventure	Herdy Gerdy	2002	Core Design Ltd.
DS	Misc	Pass the Pigs	2008	?
PS3	Adventure	Afrika	2008	Rhino Studios
X360	Racing	The Crew	2014	Ivory Tower
Wii	Action	G.I. Joe: The Rise of Cobra	2009	Double Helix Games
DS	Puzzle	Jewel Quest: Expeditions	2007	iWin
PSP	Action	Digimon World Re:Digitize	2012	?
PSP	Role-Playing	The Legend of Heroes: Trails in the Sky First Chapter	2006	?
DS	Action	Marvel Super Hero Squad: The Infinity Gauntlet	2010	THQ
X360	Simulation	Over G Fighters	2006	Taito Corporation
PS	Sports	NBA in the Zone 2000	2000	?
PS2	Sports	Dark Summit	2001	Radical Entertainment
PS4	Strategy	Angry Birds Star Wars	2013	Exient Entertainment
PSP	Sports	Hot Shots Tennis: Get a Grip	2010	Clap Hanz
PS	Sports	Cabela's Big Game Hunter: Ultimate Challenge	2001	?
Wii	Simulation	MySims Party	2009	EA Games
DS	Action	Star Wars: The Force Unleashed II	2010	LucasArts
PS2	Racing	The Dukes of Hazzard: Return of the General Lee	2004	Ratbag
PS	Platform	Pandemonium!	1996	?
3DS	Action	Transformers: Dark of the Moon	2011	?
GC	Misc	Namco Museum: 50th Anniversary	2005	Backbone Vancouver
PS2	Racing	Crash 'N' Burn	2004	Climax Group
PSP	Sports	NBA	2005	989 Sports
PS2	Fighting	Teenage Mutant Ninja Turtles: Smash-Up	2009	Game Arts
SAT	Sports	Pro Yakyuu Greatest Nine '97	1997	?
DS	Puzzle	Nintendo Presents: Crossword Collection	2009	?
X360	Sports	Big League Sports	2011	Activision
Wii	Simulation	Petz Rescue: Wildlife Vet	2008	"Lexis Numerique, Virtual Toys"
SAT	Role-Playing	Lunar: Silver Star Story Complete	1997	?
DS	Sports	Dorabase DS: Dramatic Stadium	2007	?
PS2	Action	Disaster Report	2002	Irem
SAT	Adventure	EVE: burst error	1997	?
X360	Simulation	Armored Core V	2012	From Software
Wii	Sports	Backyard NFL Football '09	2008	?
X360	Sports	College Hoops 2K7	2006	2K Sports
PS2	Racing	Speed Racer: The Videogame	2008	?
GC	Adventure	Bratz: Forever Diamondz	2006	Blitz Games
X360	Sports	NCAA March Madness 08	2007	EA Canada
PS	Action	WCW Backstage Assault	1999	Kodiak Interactive
Wii	Action	Rampage: Total Destruction	2006	"Pipeworks Software, Inc."
3DS	Simulation	Magician's Quest: Town of Magic	2012	?
PS2	Racing	Wild Wild Racing	2000	Rage Software
PS2	Role-Playing	The Bard's Tale	2004	InXile Entertainment
X360	Misc	Yoostar2	2011	?
PC	Shooter	Doom (2016)	2016	?
PS2	Misc	Momotarou Dentetsu 16	2006	?
GBA	Shooter	Robotech: The Macross Saga	2002	Lucky Chicken
PS4	Action	Transformer: Rise of the Dark Spark	2014	?
PS2	Fighting	Yu Yu Hakusho: Dark Tournament	N/A	Digital Fiction
XB	Fighting	MTV Celebrity Deathmatch	2003	?
PS3	Action	Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack	2010	?
PS2	Strategy	Conflict Zone	2002	MASA Group
Wii	Misc	Petz: Horse Club	2008	Phoenix Interactive Entertainment
